enName,cnName
Acacia Door,金合欢木门
Acacia Fence Gate,金合欢木栅栏门
Acacia Log,金合欢原木
Acacia Pressure Plate,金合欢木压力板
Acacia Sign,金合欢木告示牌
Acacia Stairs,金合欢木楼梯
Acacia Wall Sign,墙上的金合欢木告示牌
Activator Rail,激活铁轨
Allium,绒球葱
Amethyst Cluster,紫水晶簇
Andesite,安山岩
Andesite Stairs,安山岩楼梯
Anvil,铁砧
Attached Pumpkin Stem,结果的南瓜茎
Azalea Leaves,杜鹃树叶
Bamboo Sapling,竹笋
Banner,旗帜
Barrier,屏障
Beacon,信标
Bedrock,基岩
Beehive,蜂箱
Bell,钟
Big Dripleaf Stem,大型垂滴叶茎
Birch Door,白桦木门
Birch Fence Gate,白桦木栅栏门
Birch Log,白桦原木
Birch Pressure Plate,白桦木压力板
Birch Sign,白桦木告示牌
Birch Stairs,白桦木楼梯
Birch Wall Sign,墙上的白桦木告示牌
Black Wall Banner,墙上的黑色旗帜
Blackstone Slab,黑石台阶
Blackstone Wall,黑石墙
Block of Amethyst,紫水晶块
Block of Copper,铜块
Block of Emerald,绿宝石块
Block of Iron,铁块
Block of Netherite,下界合金块
Block of Raw Copper,粗铜块
Block of Raw Iron,粗铁块
Blue Ice,蓝冰
Blue Wall Banner,墙上的蓝色旗帜
Bookshelf,书架
Brain Coral Block,脑纹珊瑚块
Brain Coral Wall Fan,墙上的脑纹珊瑚扇
Brick Slab,砖台阶
Brick Wall,砖块墙
Brown Mushroom,棕色蘑菇
Brown Wall Banner,墙上的棕色旗帜
Bubble Coral,气泡珊瑚
Bubble Coral Fan,气泡珊瑚扇
Budding Amethyst,紫水晶母岩
Cactus,仙人掌
Cake With Black Candle,插上黑色蜡烛的蛋糕
Cake With Brown Candle,插上棕色蜡烛的蛋糕
Cake With Cyan Candle,插上青色蜡烛的蛋糕
Cake With Green Candle,插上绿色蜡烛的蛋糕
Cake With Light Gray Candle,插上淡灰色蜡烛的蛋糕
Cake With Magenta Candle,插上品红色蜡烛的蛋糕
Cake With Pink Candle,插上粉红色蜡烛的蛋糕
Cake With Red Candle,插上红色蜡烛的蛋糕
Cake With Yellow Candle,插上黄色蜡烛的蛋糕
Campfire,营火
Carpet,地毯
Cartography Table,制图台
Cauldron,炼药锅
Cave Vines,洞穴藤蔓
Chain,锁链
Chalkboard,黑板
Chipped Anvil,开裂的铁砧
Chiseled Nether Bricks,錾制下界砖块
Chiseled Quartz Block,錾制石英块
Chiseled Sandstone,錾制砂岩
Chorus Flower,紫颂花
Clay,黏土块
Coarse Dirt,砂土
Cobbled Deepslate Slab,深板岩圆石台阶
Cobbled Deepslate Wall,深板岩圆石墙
Cobblestone Slab,圆石台阶
Cobblestone Wall,圆石墙
Cocoa,可可果
Colored Terracotta,染色陶瓦
Command Block,命令方块
Concrete,混凝土
Conduit,潮涌核心
Coral,珊瑚
Coral Blocks,珊瑚块
Coral Fans,珊瑚扇
Cracked Deepslate Bricks,裂纹深板岩砖
Cracked Nether Bricks,裂纹下界砖块
Cracked Stone Bricks,裂纹石砖
Creeper Head,苦力怕的头
Crimson Button,绯红木按钮
Crimson Fence,绯红木栅栏
Crimson Fungus,绯红菌
Crimson Nylium,绯红菌岩
Crimson Pressure Plate,绯红木压力板
Crimson Sign,绯红木告示牌
Crimson Stairs,绯红木楼梯
Crimson Trapdoor,绯红木活板门
Crying Obsidian,哭泣的黑曜石
Cut Copper Slab,切制铜台阶
Cut Red Sandstone,切制红砂岩
Cut Sandstone,切制砂岩
Cyan Flower,青花
Damaged Anvil,损坏的铁砧
Dark Oak Button,深色橡木按钮
Dark Oak Fence,深色橡木栅栏
Dark Oak Leaves,深色橡树树叶
Dark Oak Planks,深色橡木木板
Dark Oak Sapling,深色橡树树苗
Dark Oak Slab,深色橡木台阶
Dark Oak Trapdoor,深色橡木活板门
Dark Oak Wood,深色橡木
Dark Prismarine Slab,暗海晶石台阶
Daylight Detector,阳光探测器
Dead Brain Coral,失活的脑纹珊瑚
Dead Brain Coral Fan,失活的脑纹珊瑚扇
Dead Bubble Coral,失活的气泡珊瑚
Dead Bubble Coral Fan,失活的气泡珊瑚扇
Dead Bush,枯萎的灌木
Dead Coral Blocks,失活的珊瑚块
Dead Fire Coral,失活的火珊瑚
Dead Fire Coral Fan,失活的火珊瑚扇
Dead Horn Coral,失活的鹿角珊瑚
Dead Horn Coral Fan,失活的鹿角珊瑚扇
Dead Tube Coral,失活的管珊瑚
Dead Tube Coral Fan,失活的管珊瑚扇
Deepslate,深板岩
Deepslate Brick Stairs,深板岩砖楼梯
Deepslate Bricks,深板岩砖
Deepslate Copper Ore,深层铜矿石
Deepslate Emerald Ore,深层绿宝石矿石
Deepslate Iron Ore,深层铁矿石
Deepslate Lapis Ore,深层青金石矿石
Deepslate Tile Slab,深板岩瓦台阶
Deepslate Tile Wall,深板岩瓦墙
